ConditionDescription,DependentVariable,LabID,y,v
Not.Applicable,d250,2t9re,0.551160414391027,3.44820179998803
Not.Applicable,d500,2t9re,2.20935155748867,2.31693136581845
Not.Applicable,d750,2t9re,-1.43930857984775,2.4680571530385
Not.Applicable,d1000,2t9re,-0.180193005145464,2.50158934508603
Not.Applicable,d250,3s4uh,-1.92801180002407,2.2478963528898
Not.Applicable,d500,3s4uh,-0.479088021003326,3.25252698368579
Not.Applicable,d750,3s4uh,0.703813676946183,1.85099216158404
Not.Applicable,d1000,3s4uh,2.48270205237451,1.78632287717602
Not.Applicable,d250,5hgk4,-0.245297401539928,3.22381265369578
Not.Applicable,d500,5hgk4,-0.129537485653758,2.58996103728784
Not.Applicable,d750,5hgk4,-0.688755949080407,2.32087649842138
Not.Applicable,d1000,5hgk4,0.532117504281071,2.17998279052894
Not.Applicable,d250,6ea38,-0.0583501023922358,2.24078614176598
Not.Applicable,d500,6ea38,-1.10312549723614,2.31632401519901
Not.Applicable,d750,6ea38,1.47544834644233,2.83152164473963
Not.Applicable,d1000,6ea38,-3.86235792700855,3.86656708980199
Not.Applicable,d250,8gdp3,-1.66037670873295,1.93501948624052
Not.Applicable,d500,8gdp3,1.5378490410935,0.970948529037326
Not.Applicable,d750,8gdp3,-0.603691972592757,1.28963388890783
Not.Applicable,d1000,8gdp3,1.42346407896496,1.14386593893988
Not.Applicable,d250,ecdmw,0.37747891077184,3.51054913393498
Not.Applicable,d500,ecdmw,-0.421436704685427,1.76966251108035
Not.Applicable,d750,ecdmw,-2.17561699772884,1.76695027860243
Not.Applicable,d1000,ecdmw,-1.39489620141582,1.67811317192137
Not.Applicable,d250,encwv,0.36960148535396,2.72514749067179
Not.Applicable,d500,encwv,3.1626560898156,2.56905262068596
Not.Applicable,d750,encwv,0.349662099511291,3.22989639482456
Not.Applicable,d1000,encwv,2.43799521161476,1.99894401125856
Not.Applicable,d250,fkjbz,2.64674349139196,2.88342196518554
Not.Applicable,d500,fkjbz,0.272008427239796,1.56937554040883
Not.Applicable,d750,fkjbz,-1.57639010553113,1.63550810449007
Not.Applicable,d1000,fkjbz,-1.09343991457877,1.81148165591756
Not.Applicable,d250,kwg95,1.22377102674883,3.25396791469923
Not.Applicable,d500,kwg95,0.716159240844961,2.50892552298946
Not.Applicable,d750,kwg95,-4.06539836210444,2.68320206159845
Not.Applicable,d1000,kwg95,1.22413258429954,1.87344437916006
Not.Applicable,d250,kx4w9,-0.437419735958305,2.528628060447
Not.Applicable,d500,kx4w9,3.88098884803694,2.03179782042714
Not.Applicable,d750,kx4w9,5.74974962562831,1.97281629465062
Not.Applicable,d1000,kx4w9,-1.34124854740354,2.30261312037762
Not.Applicable,d250,nzxwr,-0.338434592234283,3.28430149187231
Not.Applicable,d500,nzxwr,0.565248918062213,4.39498590737496
Not.Applicable,d750,nzxwr,0.656698126333844,1.83269447683745
Not.Applicable,d1000,nzxwr,0.966992741571122,3.97627948275428
Not.Applicable,d250,pqcf4,-0.67474073180377,2.63512857933997
Not.Applicable,d500,pqcf4,0.994610114157364,3.20904232942415
Not.Applicable,d750,pqcf4,0.35420397961387,2.97891173874691
Not.Applicable,d1000,pqcf4,0.360583890971924,2.00749048188482
Not.Applicable,d250,t5y2h,1.00750720409624,1.96622257238206
Not.Applicable,d500,t5y2h,4.18567977381479,1.40736915713922
Not.Applicable,d750,t5y2h,0.611650522474948,1.16751048225791
Not.Applicable,d1000,t5y2h,-0.57338587110098,1.60835215348333
Not.Applicable,d250,vzt3a,-2.59400680775678,2.60782307612706
Not.Applicable,d500,vzt3a,2.7867135812757,2.01402190770873
Not.Applicable,d750,vzt3a,0.083063009586678,2.57738878747808
Not.Applicable,d1000,vzt3a,-1.70736579747411,1.78371352792271
Not.Applicable,d250,xb6t2,0.128627579746308,4.42098989971078
Not.Applicable,d500,xb6t2,-1.55979875605202,5.19626668328039
Not.Applicable,d750,xb6t2,2.44628848353249,3.06511083279083
Not.Applicable,d1000,xb6t2,2.05721870477582,3.08546524483011
Not.Applicable,d250,xmyd9,0.506937339446048,2.84604280369676
Not.Applicable,d500,xmyd9,-3.42699402628726,3.05735399812847
Not.Applicable,d750,xmyd9,-1.72839689244208,3.79347520500023
Not.Applicable,d1000,xmyd9,-0.386648827584936,2.49593480673325
Not.Applicable,d250,yu8hp,-0.252886858412703,2.85618931102876
Not.Applicable,d500,yu8hp,0.0949404546316295,2.17107151749194
Not.Applicable,d750,yu8hp,0.298827523098907,2.9146588135818
Not.Applicable,d1000,yu8hp,0.670771600445998,1.81692312676289
