ConditionDescription,DependentVariable,LabID,y,v
Not.Applicable,d250,3s4uh,20.3125630574272,305.974073450252
Not.Applicable,d500,3s4uh,7.17855464500985,163.505946038135
Not.Applicable,d750,3s4uh,-6.50138553022341,343.644146781816
Not.Applicable,d1000,3s4uh,3.60429231747242,204.800009874088
Not.Applicable,d250,6ea38,-13.9139072338479,456.173672738658
Not.Applicable,d500,6ea38,-1.56793198732189,173.759910309102
Not.Applicable,d750,6ea38,0.986428257942319,123.757557834415
Not.Applicable,d1000,6ea38,17.8339274981459,79.9677225401125
Not.Applicable,d250,ecdmw,-22.4947920963564,245.656171934358
Not.Applicable,d500,ecdmw,-0.336518187112741,146.288155790003
Not.Applicable,d750,ecdmw,-19.1968984060415,113.853206211731
Not.Applicable,d1000,ecdmw,0.749252944652982,164.13419859269
Not.Applicable,d250,nzxwr,3.59089424442268,168.214881961662
Not.Applicable,d500,nzxwr,-6.22987497047599,77.9735300090831
Not.Applicable,d750,nzxwr,-5.52868062084531,37.1825738693237
Not.Applicable,d1000,nzxwr,3.09561854922099,53.1337493942539
Not.Applicable,d250,xmyd9,-13.5571201143128,402.299970454019
Not.Applicable,d500,xmyd9,5.10897038757166,420.78112533838
Not.Applicable,d750,xmyd9,-4.14743152995654,104.566133752965
Not.Applicable,d1000,xmyd9,-6.36893987345591,176.099860404573
